Название компании;Рынок;Что делают;Подробное описание проекта; Выручка (млн);Стадия;Международный трекшн ;Полезные ссылки;;;;;;;;;;;;;
"ПАЙМ
";Transport & Logistics;;"PIME разрабатывает средства отображения информации в режиме дополненной реальности.

Мы разработали умную каску, которая может быть использована для удаленной связи с сотрудниками, контроля их деятельности, а также фиксации процессов. Разработали AR модули, которыми дооснащается умная каска для отображения информации в режиме дополненной реальности.";До 100 млн.руб;Pre-seed;Нет;https://pime.tech/;;;;;;;;;;;;;
ФИЛДБИТ РУС;Transport & Logistics;;ieldbit – промышленная платформа класса «Цифровой рабочий», обеспечивающая эффективное выполнение и контроль работ по диагностике,обслуживанию и ремонтам в дополненной реальности и накопление практических цифровых компетенций. На выполненных заказах измерены положительные показатели снижения времени простоя оборудования, минимизации производственных потерь, выездов и транспортных расходов. Основная цель – усовершенствование программного обеспечения и его практическое применение на производствах;До 100 млн.руб;Pre-seed;Нет;https://navigator.sk.ru/orn/1122563;;;;;;;;;;;;;
"TrafficData

";Transport & Logistics;;"Компания TrafficData специализируется на разработке программного обеспечения для интеллектуальных транспортных систем на основе технологий видеоаналитики с глубоким обучением.

Ответ команды о полезности для Urals:
Из выпадающего списка у нас это ""Проектирование и создание ""Цифровой местности"" для проверки требований техники и сотрудники с возможностью справится  с поставленной задачей"". 
Что мы можем предложить: умный паркинг, отслеживание маршрутов транспортных средств по государственному регистрационному  знаку. ";До 100 млн.руб;Pre-seed;Нет;https://trafficdata.ru/;;;;;;;;;;;;;
"Skillometer

";Transport & Logistics;;"“Skillometer” - платформа для профессионального обучения с  системой подбора образовательной траектории на основе рекомендаций нейросети. Мы помогаем работодателям автоматизировать корпоративное обучение сотрудников. 
 
Работаем с компаниями, которые столкнулись со следующими ситуациями: 
высокая стоимость обучения; 
сложность перераспределения сотрудников по филиалам из-за отсутствия понимания текущего уровня их компетенций; 
сотрудники нарушают технику безопасности, так как не прошли обучение; 
оценка новых сотрудников или соискателей требует больших временных затрат. 
Что мы делаем? 
переводим обучение сотрудников в онлайн режим, чтобы каждый прошел в удобное время; 
автоматизируем периодическую аттестацию сотрудников, включая удаленные подразделения; 
минимизируем риски совершения производственных ошибок и репутационных потерь.";До 100 млн.руб;Pre-seed;Нет;https://skillometer.ru/;;;;;;;;;;;;;
"Аск-Памм 
";Transport & Logistics;;"СМАРТ-платформа предупреждения неисправностей и оценки технического состояния транспортных средств. В усгули компании входит:
Предупреждения неисправностей агрегатов;
Повышение эффективности эксплуатации техники;
Оценка уровня остаточного ресурса техники. ";До 100 млн.руб;Pre-seed;Нет;https://ask-glonass.ru/pamm;;;;;;;;;;;;;
CarVis;Transport & Logistics;;Компания разработала уникальную систему мониторинга состояния водителя и дорожной обстановки DSM-ADAS и в данный момент активно её коммерциализирует на рынке.;До 100 млн.руб;Pre-seed;Нет;https://carvis.org/publikacii/sistema-monitoringa-sostoyaniya-voditelya-i-dorozhnoj-obstanovki-dsm-adas-2;;;;;;;;;;;;;
ChannelAI;Transport & Logistics;;ChannelAI - система HR-аналитики и рекомендательный сервис с элементами искусственного интеллекта по управлению и повышению эффективности источников подбора. Channel AI собирает данные из ATS, работных сайтов, социальных сетей и карьерного портала, связывает их между собой, формирует отчёты и показывает, использование какого канала и каким образом наиболее эффективно для закрытия вакансии. В связке с собственными модулями организационного развития и проектирования позволяет сделать процесс управления организационной структурой и кросс-функциональными командами в 6 раз быстрее и сократить трудозатраты участников процесса в среднем на 55%.;До 100 млн.руб;Pre-seed;Нет;https://forpeople.company/;;;;;;;;;;;;;
КБ АВРОРА;Transport & Logistics;;Компанией разработана открытая платформа для создания систем управления автономными транспортными средствами (ТС) и разработка автопилота на ее основе. Проект направлен на создание открытой платформы разработки систем автономного управления ТС и системы управления на ее основе. Платформа включает в себя средства тестирования и отладки подсистем сбора и анализа сенсорных данных и последующего принятия решений.;До 100 млн.руб;Pre-seed;Нет;https://kb-avrora.ru/;;;;;;;;;;;;;
АРМ;Transport & Logistics;;Целью проекта является разработка энергоэффективного роботизированного зерноуборочного комбайна на основе передовых технологий и патентуемых систем. В конструкции реализованы инновационные энергосберегающие решения. В период с 2011 по 2019 год обеспечен существенный задел и проверена идея работы электрических приводов в составе сельскохозяйственной машины. Достигнуты преимущества по сравнению с традиционными комбайнами, позволяющие экономить до 40% углеводородного топлива.;До 100 млн.руб;Pre-seed;Нет;https://armmeh.ru/;;;;;;;;;;;;;
ЭЛЕКТРОТРАНСПОРТНЫЕ ТЕХНОЛОГИИ;Transport & Logistics;;Компания занимается производством беспилотного электротранспорта для межскладской логистики. Реализованы полностью проекты МАТРЕШКА, ГРУЗОВИК, ЗЛЕКТРОБУС, ЭЛЕКТРОМОБИЛЬ в рамках которых созданы автономные транспортные средства: автобус малого класса на 8 пассажиров, автобус на 98 пассажиров, грузовик для перевозки грузов и легковой электромобиль. Вся техника обладает автономной системой управления и использует перспективные источники энергии. ;До 100 млн.руб;Pre-seed;Нет;http://ev-tech.me/ru/#secondPage1;;;;;;;;;;;;;
VISY TASK;Transport & Logistics;;Разработчики программы по автоматизации скоринга сотрудников и принятия управленческих решений.;До 100 млн.руб;Pre-seed;Нет;https://www.visytask.ru/;;;;;;;;;;;;;
СОРБ ИННОВА;Transport & Logistics;;Компания «СОРБ ИННОВА» ведет разработку программно-аппаратного комплекса «Смартроад» для получения, обработки, хранения и визуализации информации, получаемой с детекторов транспорта. Комплекс включает в себя оборудование и программное обеспечение. Микроволновые технологии, применяемые в детекторах «Смартроад», позволяют решать разнообразные задачи, связанные с мониторингом объектов.;До 100 млн.руб;Pre-seed;Нет;https://www.sorb-eng.ru/ru/projects;;;;;;;;;;;;;
Xor-Group;Transport & Logistics;;Проект «Антисон» разрабатывает технологии анализа данных о водителе в пути (в т.ч. данные о сонливости водителя, наступлении сна, отвлечения от дороги), а также предупреждения водителя. Основными наработками проекта являются алгоритмы анализа данных состояния водителя в пути на базе компьютерного зрения, а также рабочий прототип прибора. Основной целью развития проекта является обеспечение снижения количества происшествий по вине водителя в пути;До 100 млн.руб;Pre-seed;Нет;https://xor-group.ru/;;;;;;;;;;;;;
Лаборатория умного вождения;Transport & Logistics;;«Лаборатория умного вождения» – российский разработчик универсальной автомобильной телематической платформы и системы LADA Connect. Созданные в «Лаборатории умного вождения» аппаратно-программные решения превращают автомобиль в подключённое к сети Интернет устройство. Специалисты «Лаборатории умного вождения» оказывают адаптированный под каждого клиента набор услуг – от круглосуточного мониторинга состояния автомобиля и защиты от угона до анализа эксплуатационных параметров, контроля расходов и оценки безопасности вождения. Страховым компаниям решения «Лаборатории умного вождения» помогают провести селекцию страхового портфеля и сформировать индивидуальные страховые тарифы для клиентов. Автопроизводителям и автопаркам – внедрить инновационные подходы в бизнесе.;До 100 млн.руб;Pre-seed;Нет;https://smartdriving.io/;;;;;;;;;;;;;
РОНАВИ РОБОТИКС;Transport & Logistics;;Компания выпустила линейку роботов с разной грузоподъемностью: от 50 до 1 500 кг. Разработанные роботы предназначены для транспортировки грузов, организации точек комплектации, поставок комплектующих на производственных линиях.;До 100 млн.руб;Pre-seed;Нет;http://ronavi-robotics.ru/;;;;;;;;;;;;;
ФГУП «НАМИ»;Transport & Logistics;;Тестирует и выполняет заказы на ряд продуктов: беспилотные легковые автомобили, беспилотные грузовики, грузовики на водородном топливе. ;До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
"атимо.рф

";Transport & Logistics;;"Предрейсовые медицинские и технические осмотры в мобильном приложении. Поиск ближайших авторизованных пунктов осмотра. Все необходимые журналы онлайн. 

Важные уточнения от фаундера:
1. Сейчас решение тестируется и открыты продажи на целевом клиенте такси, но оно универсально для всех категорий транспорта. 
2. Приложение готово для Андроид в режиме тестирования (скачать пока в магазине нельзя, можем дать апк файл для тестирования). 
3. Мы работаем со всеми крупными производителями ПАК для осмотра водителей (Квазар, Медпоинт24) и сами разрабатываем свой (нас не устраивает то что есть на рынке).  ";До 100 млн.руб;Pre-seed;Нет;https://xn--80aqmir.xn--p1ai/;;;;;;;;;;;;;
"Навител Мониторинг
";Transport & Logistics;;Навител Мониторинг — многофункциональная интеллектуальная система мониторинга транспорта и других подвижных объектов. Система позволяет в онлайн-режиме определять точные координаты местоположения автомобиля, маршрут его передвижения и другие важные параметры, такие как пробег, скорость, расход топлива и направление движения.;До 100 млн.руб;Pre-seed;Нет;https://navitel.ru/ru/monitoring;;;;;;;;;;;;;
Гк СтройТехМаш;Transport & Logistics;;Произвосдвто контейнерной и модульной АЗС, также присутсвуют безоператорные АЗС. ;До 100 млн.руб;Pre-seed;Нет;https://azs-mini.ru/;;;;;;;;;;;;;
Гарвекс;Transport & Logistics;;Модульная АЗС или топливозаправочный пункт — это установка, которая позволяет заправлять технику и хранить необходимый запас топлива. Модульные АЗС позволяют компаниям любого уровня лучше контролировать использование топлива, повысить эффективность автопарка и приблизить место заправки к месту использования техники.Модульная АЗС (МАЗС) применяется на предприятиях, строительных площадках, там, где есть необходимость в автономной заправке техники с соблюдением всех необходимых норм и правил.;До 100 млн.руб;Pre-seed;Нет;https://garveks.ru/production/fuel-modules/open-mazs;;;;;;;;;;;;;
"SmartMaintenance
";Transport & Logistics;;Решение основанное на машинном обучении  для мониторинга и предиктивного анализа технического состояния оборудования, оптимизации процессов ремонта и обслуживания. ;До 100 млн.руб;Pre-seed;Нет;https://ctrl2go.solutions/solutions/smart-maintenance/;;;;;;;;;;;;;
"Veeroute 
";Transport & Logistics;;VeeRoute разрабатывает программный софт для решения сложных оптимизационных задач в логистике. В основе технологии лежат алгоритмы оптимизации с управляющими элементами AI (Искусственный интеллект) и гибкая модульная структура данных.;До 100 млн.руб;Pre-seed;Нет;https://veeroute.com/challenges/long-haul-delivery-and-multimodal-transportation/;;;;;;;;;;;;;
"АГРОГЛОБАЛ ТЕЛЕКОМ
";Transport & Logistics;;"Разработка бюджетного устройства спутниковой системы навигации и определения географических координат объектов и параллельного движения, с возможностью использования как базовой станции для работы в местах, где нет покрытия GSM-сетей, так и в виде ровера для точного земледелия, автоматического подруливания и создания беспилотных сельхозмашин. Создан прототип антенны, разрабатывается мобильное приложение для удаленной настройки конфигурации, имеются патенты на изобретение, пром. образец и ПО.

Синергия с компанией следущая: компания создала не беспилотную агро-технику, а переформатировала уже существующую. С разработанной системой и опытом ее настройки способна переформатировать и производственную тезхнику для перемещения по небольшой территории. ";До 100 млн.руб;Pre-seed;Нет;https://www.agroglobal.pro/;;;;;;;;;;;;;
"Айронсистемс 
";Transport & Logistics;;Автоматическая топливораздаточная колонка с терминалом самообслуживания может быть одностороннего (в случае, если терминал находится только с одной стороны колонки), или двустороннего исполнения. Для отображения информации водителю применяется ЖК-дисплей. Заправка автомобиля проводится водителем самостоятельно, в соответствии с назначенным ему персональным лимитом, или лимитом, заданным для его автомобиля (в том случае, если единицей учета выступает техника, а не водители). Идентификация водителя или его автомобиля при заправке происходит при помощи бесконтактной пластиковой карты.;До 100 млн.руб;Pre-seed;Нет;https://iron-systems.ru/avtomaticheskaya-vedomstvennaya-azs/;;;;;;;;;;;;;
Аркан ;Transport & Logistics;;" В базовой комплектации уже предусмотрен контроль всех основных показателей:
Местоположение, пробеги, маршруты, въезд/выезд из заданной геозоны
Данные о стоянках, движении и простое на холостом ходу
Информация о межсервисных интервалах, контроль моточасов 
Удаленная блокировка двигателя
Датчики уровня топлива: контроль заправок и сливов
Данные по транспортному средству с детализацией по водителям с опцией «идентификация водителя»";До 100 млн.руб;Pre-seed;Нет;https://arkan.ru/msk/products/monitoring-transporta/;;;;;;;;;;;;;
АЙФЛАКСИБЛ;Transport & Logistics;;"Glazz - проект российской автономной гарнитуры дополненной реальности для открытых пространств (с динамическим затемнением) с фокусом на использование в корпоративной среде и промышленности.

Решаемые проблемы:
- удалённого управления оборудованием
- обучения персонала
- ассистирования в реальном времени
- совместной работы над цифровыми двойниками оборудования на цифровизированных производственных и промышленных предприятиях.";До 100 млн.руб;Pre-seed;Нет;http://glazz.tech/;;;;;;;;;;;;;
ЦИФРОВОЙ ДВОЙНИК;Transport & Logistics;;Компания Фора Роботикс на протяжении последних 3 лет специализируется на разработке цифровых двойников и BIM-моделей в промышленном сегменте. За это время успели посотрудничать с предприятиями ТМХ холдинга и Роскосмоса (всего 12 заказчиков). В продуктовую линейку VR входят услуги по: создание полной трехмерной модели  действующего предприятия, проектирование вновь создаваемых производственных объектов, обратный инжинирин. ;До 100 млн.руб;Pre-seed;Нет;https://www.forarobotics.ru/;;;;;;;;;;;;;
Аритмос;Transport & Logistics;;"Платформа для определения максимально эффективного графика для персонала.
 Система создает миллионы версий рабочих графиков для представления лучшего результата, принимая во внимание:
- все созданные расписания соответствуют «жестким» параметрам (если так теоретически возможно);
- все созданные расписания максимально приближены к «мягким» параметрам.
Каждый созданный график получает рейтинг, на основании выполнения «жестких» параметров и большинству «мягких». Максимальный рейтинг - это оптимальное расписание.
Процесс оптимизации для 20 сотрудников на один месяц занимает примерно 30 секунд.";До 100 млн.руб;Pre-seed;Нет;https://aritmos.ru/;;;;;;;;;;;;;
"ПРАГМА
";Transport & Logistics;;ООО «Прагма» один из ведущих разработчиков ИТ-решений в области управления инвестиционно-строительными проектами. ПО компании позволяет его пользователям осуществлять оперативное управление рисками на всех этапах строительства, контролировать текущее состояние и определять отклонения/опережение от планируемых сроков, следить за качеством объекта строительства, осуществлять контроль за исполнением бюджета и его анализ.;До 100 млн.руб;Pre-seed;Нет;https://pragma.info/;;;;;;;;;;;;;
GTLogistics;Transport & Logistics;;"GTLogistics на рынке автоматизации складской и транспортной логистики разрабатывает и внедряет 3 программных продукта. GTStock - управление складом (WMS), GTRoute - автопостроение маршрутов и GTDrive - контроль перевозок (TMS).
Особый интерес представляет алгоритм построения маршрутов, это уникальное решение, над которым работали профессора математики и шахматисты. Он позволяет строить маршруты эффективнее и быстрее логистов и может внедрятся как отдельный продукт GTAlgo.";До 100 млн.руб;Pre-seed;Нет;https://gt-logistics.ru/;;;;;;;;;;;;;
"ВИЗОРЛАБС

";Transport & Logistics;;"Платформа видеоаналитики VisorLabs позволяет создать автоматизированную систему контроля соблюдения требований техники безопасности (ношение СИЗ, соблюдение правил проведения работ) и предотвращения случаев производственного травматизма. Экономический эффект от внедрения системы состоит из: снижения расходов на контроль ПБ и ТБ при повышении эффективности контроля; сокращения расходов на штрафы и компенсации по травматизму; сокращению потерь из-за ремонтов и простоя оборудования. Система автоматически анализирует видеопотоки с камер наблюдения, регистрирует нарушения в области ПБ и ТБ, контролирует комплектность бригад и их численность в соответствии с заказ-нарядами.";До 100 млн.руб;Pre-seed;Нет;https://vizorlabs.ru/;;;;;;;;;;;;;
Biometric Labs;Transport & Logistics;;Разработчик акустических датчиков и систем обработки акустических сигналов на основе искусственного интеллекта для различных отраслей: промышленность, ЖКХ, fintech, медицина, транспорт и другие. Среди решений компании – системы голосовой биометрии, обнаружения утечек в трубопроводах, раннего диагностирования заболеваний легких и сердца, выявления неисправностей в автомобиле по звуку.;До 100 млн.руб;Pre-seed;Нет;http://www.biometriclabs.ru/;;;;;;;;;;;;;
Consyst Smart Service;Transport & Logistics;;Разработчик умного сервиса прогноза поломки оборудования. Использование системы машинного обучения позволяет рассчитать время и вероятность отказа и своевременно выполнить необходимые ремонтные работы. Предотвратить поломку до отказа оборудования – это ключевая задача, на решение которой направлены основные усилия ремонтных подразделений. Consyst Smart Service подскажет, что выйдет из строя, когда и по какой причине.;До 100 млн.руб;Pre-seed;Нет;https://smartservice.cbgr.ru/;;;;;;;;;;;;;
"ДСТ-УРАЛ
";Transport & Logistics;;"Сделал функционирующий робот-бульдозер и показал на выставке. У робота нет кабины, управлять работой бульдозера можно либо по радиоканалу со специального пульта, оснащённого парой джойстиков, либо с помощью беспилотной системы.

В число преимуществ беспилотных бульдозеров в частности и беспилотной техники в целом входят:
Экономичность по отношению к топливу, которая достигается за счёт сокращения лишних «телодвижений»;
Повышение скорости работы;
Увеличение времени работы (роботизированной машине не нужно отдыхать, обедать или делать пересменок);
Возможность обслуживать сразу несколько единиц техники с помощью одного оператора. 
";До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
Проект 80;Transport & Logistics;;"Завод ""Урал"" представил беспилотный грузовик. Новинка построена на базе полноприводного шасси Урал-432067–73 и способна преодолевать брод глубиной в 70 см. Позади расположили грузовую платформу без бортов, на ней можно закрепить до 5 тонн груза.

Представленный образец выкрашен в два цвета: левая сторона в оранжевом, что символизирует эксплуатацию в гражданских целях. Правая же сторона носит традиционный для транспорта Минобороны тёмно-зелёный окрас.";До 100 млн.руб;Pre-seed;Нет;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
